nodeName	altName	nodeAttr[nodesPresent, ]
Rv2993c	NA	grey
Rv2997	NA	grey
Rv3000	NA	grey
Rv3009c	NA	grey
Rv3017c	NA	grey
Rv3018c	NA	grey
Rv3019c	NA	grey
Rv3034c	NA	grey
Rv3035	NA	grey
Rv3047c	NA	grey
Rv3048c	NA	grey
Rv3054c	NA	grey
Rv3056	NA	grey
Rv3058c	NA	grey
Rv3064c	NA	grey
Rv3067	NA	grey
Rv3089	NA	grey
Rv3090	NA	grey
Rv3093c	NA	grey
Rv3097c	NA	grey
Rv3099c	NA	grey
Rv3110	NA	grey
Rv3111	NA	grey
Rv3113	NA	grey
Rv3121	NA	grey
Rv3125c	NA	grey
Rv3126c	NA	grey
Rv3128c	NA	grey
Rv3132c	NA	grey
Rv3139	NA	grey
Rv3142c	NA	grey
Rv3165c	NA	grey
Rv3166c	NA	grey
Rv3168	NA	grey
Rv3175	NA	grey
Rv3177	NA	grey
Rv3178	NA	grey
Rv3179	NA	grey
Rv3181c	NA	grey
Rv3183	NA	grey
Rv3191c	NA	grey
Rv3192	NA	grey
Rv3195	NA	grey
Rv3196	NA	grey
Rv3200c	NA	grey
Rv3222c	NA	grey
Rv3231c	NA	grey
Rv3232c	NA	grey
Rv3234c	NA	grey
Rv3238c	NA	grey
Rv3278c	NA	grey
Rv3279c	NA	grey
Rv3312c	NA	grey
Rv3323c	NA	grey
Rv3324c	NA	grey
Rv3327	NA	grey
Rv3328c	NA	grey
Rv3331	NA	grey
Rv3333c	NA	grey
Rv3345c	NA	grey
Rv3349c	NA	grey
Rv3350c	NA	grey
Rv3351c	NA	grey
Rv3357	NA	grey
Rv3359	NA	grey
Rv3365c	NA	grey
Rv3368c	NA	grey
Rv3369	NA	grey
Rv3388	NA	grey
Rv3390	NA	grey
Rv3391	NA	grey
Rv3392c	NA	grey
Rv3396c	NA	grey
Rv3409c	NA	grey
Rv3413c	NA	grey
Rv3432c	NA	grey
Rv3440c	NA	grey
Rv3441c	NA	grey
Rv3446c	NA	grey
Rv3453	NA	grey
Rv3454	NA	grey
Rv3461c	NA	grey
Rv3462c	NA	grey
Rv3469c	NA	grey
Rv3471c	NA	grey
Rv3473c	NA	grey
Rv3481c	NA	grey
Rv3482c	NA	grey
Rv3486	NA	grey
Rv3506	NA	grey
Rv3511	NA	grey
Rv3513c	NA	grey
Rv3514	NA	grey
Rv3518c	NA	grey
Rv3519	NA	grey
Rv3521	NA	grey
Rv3522	NA	grey
Rv3545c	NA	grey
Rv3550	NA	grey
Rv3551	NA	grey
Rv3553	NA	grey
Rv3558	NA	grey
Rv3559c	NA	grey
Rv3560c	NA	grey
Rv3568c	NA	grey
Rv3573c	NA	grey
Rv3575c	NA	grey
Rv3591c	NA	grey
Rv3596c	NA	grey
Rv3618	NA	grey
Rv3621c	NA	grey
Rv3622c	NA	grey
Rv3632	NA	grey
Rv3633	NA	grey
Rv3637	NA	grey
Rv3642c	NA	grey
Rv3643	NA	grey
Rv3650	NA	grey
Rv3662c	NA	grey
Rv3665c	NA	grey
Rv3666c	NA	grey
Rv3668c	NA	grey
Rv3690	NA	grey
Rv3693	NA	grey
Rv3696c	NA	grey
Rv3700c	NA	grey
Rv3703c	NA	grey
Rv3705c	NA	grey
Rv3707c	NA	grey
Rv3711c	NA	grey
Rv3717	NA	grey
Rv3726	NA	grey
Rv3729	NA	grey
Rv3730c	NA	grey
Rv3733c	NA	grey
Rv3751	NA	grey
Rv3752c	NA	grey
Rv3753c	NA	grey
Rv3755c	NA	grey
Rv3758c	NA	grey
Rv3762c	NA	grey
Rv3770c	NA	grey
Rv3771c	NA	grey
Rv3784	NA	grey
Rv3801c	NA	grey
Rv3817	NA	grey
Rv3830c	NA	grey
Rv3831	NA	grey
Rv3851	NA	grey
Rv3860	NA	grey
Rv3861	NA	grey
Rv3870	NA	grey
Rv3898c	NA	grey
Rv3908	NA	grey
Rv3909	NA	grey
Rv3912	NA	grey
